"brand","model","screenSize","screenTech","star","energyConsumption"
"philips","58BFL2114/12",58,"LED",5.5,322
"philips","55HFL6114U/12",55,"LED",5,319
"hisense","75U80G",75,"LED",2.5,1060
"jvc","AV-H323115A",32,"LED",5,130
"bauhn","ATV58UHDW-0421",58,"LED",6,301
"jvc","AV-H437115A",42,"LED",4.5,235
"jvc","AV-H587115A",57,"LED",4,468
"jvc","AV-H657115A",64,"LED",4,580
"samsung","QA85QN90AAW",85,"LED",4,945
"samsung","QA85QN90AAS",85,"LED",4,945
"samsung","QA85QN90AA",85,"LED",4,945
"bauhn","ATV70UHDW-0321",70,"LCD",6,405
"kogan","KALED55RT9220SVA",55,"LED",5,320
"kogan","LE-55N3",55,"LED",5,320
"kogan","LE-55N1",55,"LED",5,320
"kogan","LE-55S1",55,"LED",5,320
"kogan","LE-55E1",55,"LED",5,320
"kogan","LE-55F3",55,"LED",5,320
"samsung","QA50Q80AAS",49,"LED",2.5,470
"kogan","KALED65RT9210SVA",65,"LED",5.5,385
"kogan","LE-65N3",65,"LED",5.5,385
"kogan","LE-65E1",65,"LED",5.5,385
"kogan","LE-65S1",65,"LED",5.5,385
"kogan","LE-65N1",65,"LED",5.5,385
"kogan","LE-65F3",65,"LED",5.5,385
"kogan","*****65*****",65,"LED",5.5,385
"samsung","BE43A-H",42,"LED",4,255
"samsung","BE50A-H",49,"LED",4,335
"teac","LE75L521",75,"LED",4,750
"samsung","BE55A-H",55,"LED",5,310
"samsung","BE65A-H",64,"LED",5,426
"samsung","BE75A-H",75,"LED",5.5,525
"hyundai","H75WK31",75,"LED",4,750
"blaupunkt","BP580USG9300",58,"LED",5,370
"kogan","KALED55XG9410SKA",55,"LED",5,330
"hisense","65A7G",65,"LED",5,458
"hisense","50A7G",50,"LED",5.5,254
"hisense","55A7G",55,"LED",5.5,304
"devanti","STV-316W-UHD-65",65,"LED",4,554
"linsar","LS82UHDNF",82,"LED",5.5,651
"kogan","KALED70TU9220SKA",70,"LED",4.5,550
"hisense","32A4G",32,"LED",6,104
"hisense","55U7G",55,"LED",4.5,380
"devanti","STV-311W-UHD-75",75,"LED",4,760
"lg","75QNED99TPB",75,"LED",3,904
"lg","86QNED99TPB",86,"LED",2.5,1280
"lg","75QNED91TPA",75,"LED",5,594
"skyworth","55SUC9300",55,"LED",5.5,303
"skyworth","55SUC9500",55,"LED",5.5,303
"skyworth","55SUC****",55,"LED",5.5,303
"skyworth","86SUC9500",86,"LED",4.5,893
"skyworth","86SUC9000",86,"LED",4.5,893
"hisense","75A7G",75,"LED",5.5,528
"skyworth","86G51",86,"LED",4.5,893
"skyworth","STL-86G51",86,"LED",4.5,893
"skyworth","86SUC****",86,"LED",4.5,893
"sony","XR-65X95J",65,"LCD",3.5,642
"sony","XR-75X95J",75,"LCD",4,763
"sony","XR-85X95J",85,"LCD",4.5,818
"lg","86QNED91TPA",86,"LED",5,776
"kogan","KALED50XU9210STD",49,"LED",5,284
